iter	Passed	Remaining
599	1762	1174
600	1764	1171
601	1766	1167
602	1768	1164
603	1774	1163
604	1776	1160
605	1779	1157
606	1782	1153
607	1786	1151
608	1788	1148
609	1790	1144
610	1792	1141
611	1797	1139
612	1799	1136
613	1801	1132
614	1803	1129
615	1805	1125
616	1810	1123
617	1812	1120
618	1815	1117
619	1816	1113
620	1818	1109
621	1822	1107
622	1825	1104
623	1827	1101
624	1829	1097
625	1831	1094
626	1834	1091
627	1838	1088
628	1840	1085
629	1841	1081
630	1843	1077
631	1845	1074
632	1849	1072
633	1851	1069
634	1853	1065
635	1855	1061
636	1857	1058
637	1860	1055
638	1862	1052
639	1864	1048
640	1866	1045
641	1867	1041
642	1869	1038
643	1872	1035
644	1874	1031
645	1876	1028
646	1877	1024
647	1880	1021
648	1882	1018
649	1886	1015
650	1888	1012
651	1890	1008
652	1893	1006
653	1895	1002
654	1899	1000
655	1900	996
656	1902	993
657	1904	990
658	1906	986
659	1908	982
660	1912	980
661	1913	977
662	1915	973
663	1917	970
664	1919	967
665	1921	963
666	1924	960
667	1925	957
668	1927	953
669	1929	950
670	1931	947
671	1933	943
672	1936	941
673	1939	937
674	1940	934
675	1942	931
676	1944	927
677	1946	924
678	1949	921
679	1951	918
680	1953	915
681	1955	911
682	2001	928
683	2003	925
684	2005	922
685	2007	918
686	2009	915
687	2012	912
688	2023	913
689	2026	910
690	2028	907
691	2035	906
692	2038	902
693	2039	899
694	2041	896
695	2043	892
696	2046	889
697	2049	886
698	2050	883
699	2052	879
700	2054	876
701	2056	873
702	2059	870
703	2062	867
704	2063	863
705	2064	859
706	2066	856
707	2069	853
708	2071	850
709	2074	847
710	2076	843
711	2077	840
712	2079	837
713	2082	834
714	2084	830
715	2086	827
716	2088	824
717	2090	820
718	2091	817
719	2094	814
720	2097	811
721	2099	808
722	2101	805
723	2103	801
724	2104	798
725	2107	795
726	2109	792
727	2111	788
728	2113	785
729	2115	782
730	2116	778
731	2119	775
732	2121	772
733	2124	769
734	2126	766
735	2127	763
736	2129	759
737	2131	756
738	2134	753
739	2137	751
740	2139	747
741	2141	744
742	2143	741
743	2145	738
744	2148	735
745	2150	732
746	2152	729
747	2154	725
748	2156	722
749	2158	719
750	2162	716
751	2163	713
752	2165	710
753	2167	707
754	2169	704
755	2171	700
756	2174	698
757	2176	694
758	2178	691
759	2180	688
760	2182	685
761	2186	683
762	2188	679
763	2191	676
764	2192	673
765	2199	671
766	2201	668
767	2202	665
768	2204	662
769	2206	659
770	2211	656
771	2213	653
772	2214	650
773	2216	647
774	2218	644
775	2220	640
776	2225	638
777	2227	635
778	2229	632
779	2230	629
780	2232	626
781	2235	623
782	2237	620
783	2239	616
784	2240	613
785	2242	610
786	2244	607
787	2249	605
788	2251	602
789	2253	598
790	2254	595
791	2256	592
792	2257	589
793	2259	586
794	2261	583
795	2263	580
796	2265	576
797	2266	573
798	2268	570
799	2270	567
800	2272	564
801	2274	561
802	2276	558
803	2277	555
804	2280	552
805	2281	549
806	2286	546
807	2288	543
808	2290	540
809	2291	537
810	2293	534
811	2295	531
812	2299	528
813	2301	525
814	2303	522
815	2305	519
816	2307	516
817	2308	513
818	2313	511
819	2315	508
820	2317	505
821	2318	502
822	2320	499
823	2322	496
824	2326	493
825	2328	490
826	2330	487
827	2332	484
828	2334	481
829	2335	478
830	2339	475
831	2341	472
832	2344	470
833	2347	467
834	2352	464
835	2354	461
836	2355	458
837	2357	455
838	2359	452
839	2360	449
840	2363	446
841	2366	444
842	2367	440
843	2369	437
844	2371	434
845	2372	431
846	2374	428
847	2376	425
848	2377	422
849	2379	419
850	2381	416
851	2382	413
852	2384	410
853	2387	408
854	2388	405
855	2390	402
856	2391	399
857	2393	396
858	2395	393
859	2396	390
860	2398	387
861	2400	384
862	2401	381
863	2407	378
864	2408	375
865	2410	372
866	2412	370
867	2414	367
868	2416	364
869	2418	361
870	2420	358
871	2421	355
872	2423	352
873	2425	349
874	2427	346
875	2431	344
876	2433	341
877	2434	338
878	2436	335
879	2438	332
880	2440	329
881	2442	326
882	2444	323
883	2446	320
884	2448	318
885	2450	315
886	2455	312
887	2457	309
888	2458	306
889	2460	304
890	2462	301
891	2464	298
892	2468	295
893	2471	292
894	2472	290
895	2474	287
896	2476	284
897	2478	281
898	2483	278
899	2485	276
900	2486	273
901	2488	270
902	2490	267
903	2491	264
904	2493	261
905	2495	258
906	2497	256
907	2498	253
908	2501	250
909	2502	247
910	2504	244
911	2506	241
912	2507	238
913	2509	236
914	2511	233
915	2513	230
916	2515	227
917	2517	224
918	2518	222
919	2521	219
920	2523	216
921	2527	213
922	2528	210
923	2530	208
924	2532	205
925	2534	202
926	2535	199
927	2540	197
928	2542	194
929	2543	191
930	2546	188
931	2548	185
932	2554	183
933	2555	180
934	2557	177
935	2560	175
936	2562	172
937	2564	169
938	2567	166
939	2572	164
940	2578	161
941	2579	158
942	2582	156
943	2584	153
944	2586	150
945	2591	147
946	2593	145
947	2597	142
948	2599	139
949	2601	136
950	2603	134
951	2606	131
952	2608	128
953	2610	125
954	2614	123
955	2616	120
956	2619	117
957	2621	114
958	2624	112
959	2629	109
960	2631	106
961	2633	104
962	2649	101
963	2651	99
964	2653	96
965	2655	93
966	2657	90
967	2660	87
968	2686	85
969	2688	83
970	2690	80
971	2697	77
972	2698	74
973	2702	72
974	2704	69
975	2709	66
976	2712	63
977	2714	61
978	2716	58
979	2721	55
980	2724	52
981	2726	49
982	2728	47
983	2730	44
984	2737	41
985	2738	38
986	2740	36
987	2744	33
988	2745	30
989	2747	27
990	2749	24
991	2750	22
992	2752	19
993	2760	16
994	2763	13
995	2765	11
996	2768	8
997	2773	5
998	2776	2
999	2780	0
